TIMESTAMP,ContextTokens,GeneratedTokens
1700158751857,372,67
1700158752132,1165,411
1700158752179,1262,373
1700158752372,1216,421
1700158752421,237,14
1700158752452,91,24
1700158752457,1196,385
1700158752665,1116,411
1700158752919,1102,427
1700158753113,414,84
1700158753531,392,74
1700158753781,386,57
1700158754282,1111,415
1700158754346,997,393
1700158754357,987,393
1700158755042,203,167
1700158755119,3744,67
1700158755320,209,217
1700158755370,908,90
1700158755637,404,126
1700158755809,1296,448
1700158756183,396,87
1700158756341,1035,411
1700158756422,416,99
1700158756560,167,205
1700158756686,2584,174
1700158756698,907,429
1700158756735,429,108
1700158756784,1361,98
1700158756817,130,173
1700158756871,203,217
1700158756948,126,203
1700158756967,1082,105
1700158757158,397,54
1700158757187,4093,35
1700158757838,383,72
1700158757919,416,144
1700158758095,1072,411
1700158758124,380,112
1700158758276,1161,440
1700158758289,197,217
1700158758316,2426,130
1700158758457,368,62
1700158758484,1101,402
1700158758486,405,142
1700158758535,181,119
1700158758620,910,60
1700158758913,4145,40
1700158759256,994,396
1700158759329,1201,497
1700158759576,4070,77
1700158759628,4093,48
1700158759951,4093,60
1700158760033,400,95
1700158760085,404,101
1700158760202,4122,51
1700158760304,1001,371
1700158760340,1004,412
1700158760434,1118,385
1700158760614,391,98
1700158760661,4084,36
1700158760684,4091,42
1700158760719,374,70
1700158760919,395,132
1700158761015,1318,151
1700158761413,373,126
1700158761450,167,217
1700158762100,404,96
1700158762527,399,91
1700158762707,309,18
1700158762854,914,100
1700158763225,398,99
1700158763231,923,416
1700158763449,392,91
1700158764250,206,171
1700158764264,2406,33
1700158764513,1231,416
1700158764514,1181,415
1700158764755,374,73
1700158764902,396,120
1700158764982,181,209
1700158765342,4082,49
1700158765459,4079,53
1700158765662,1658,82
1700158765663,165,158
1700158765912,405,133
1700158766149,4119,59
1700158766416,1205,409
1700158766565,1120,397
1700158766794,367,49
1700158766998,405,96
1700158767360,4099,53
1700158767504,442,78
1700158767558,4074,28
1700158768089,1009,399
1700158768356,375,94
1700158768639,1009,399
1700158768715,1313,162
1700158768773,1133,432
1700158768964,385,77
1700158769050,1296,405
1700158769378,1199,440
1700158769390,1321,180
1700158770019,437,92
1700158770061,440,84
1700158771075,381,67
1700158771182,420,103
1700158771469,1060,449
1700158771711,1199,373
1700158771733,390,99
1700158771869,4122,73
1700158771949,4076,39
1700158772200,203,217
1700158772287,999,575
1700158772377,4082,128
1700158772521,1231,463
1700158772879,1165,409
1700158773000,987,393
1700158773036,414,101
1700158773129,396,102
1700158773172,1865,122
1700158773175,390,83
1700158773177,1083,429
1700158773242,373,69
1700158773974,4085,37
1700158774094,401,89
1700158774173,203,183
1700158774434,1233,377
1700158774832,1133,429
1700158774940,4122,64
1700158774998,1199,396
1700158775085,1226,95
1700158775174,1031,397
1700158775443,206,189
1700158775465,980,516
1700158775474,167,179
1700158775595,405,128
1700158775606,376,62
1700158775697,1313,169
1700158775700,1320,239
1700158775783,1052,101
1700158776130,1060,658
1700158776192,1049,395
1700158776331,408,104
1700158776479,91,16
1700158776633,1313,234
1700158776884,206,186
1700158776912,128,159
1700158777349,4089,50
1700158777362,1150,375
1700158777371,1196,425
1700158777461,406,102
1700158777466,388,92
1700158777529,980,396
1700158777688,173,158
1700158777712,407,91
1700158777757,963,407
1700158777788,1808,56
1700158778091,379,59
1700158778178,413,96
1700158778282,1146,425
1700158778594,1060,397
1700158778609,191,217
1700158778823,394,93
1700158778919,1204,412
1700158778950,197,217
1700158779101,1207,386
1700158779193,23,149
1700158779198,396,95
1700158779255,923,418
1700158779331,396,96
1700158779331,923,417
1700158779352,1262,415
1700158779377,1102,427
1700158779526,371,85
1700158779838,4075,39
1700158779943,1186,371
1700158780076,181,111
1700158780078,1008,373
1700158780088,1225,401
1700158780213,1181,426
1700158780319,1311,169
1700158780581,2216,49
1700158780692,200,179
1700158781743,1060,397
1700158781774,4074,74
1700158782102,763,30
1700158782467,1353,181
1700158783126,1035,411
1700158783491,4086,75
1700158783640,394,110
1700158783950,126,203
1700158783961,1264,440
1700158784258,91,16
1700158784260,4089,84
1700158784340,382,53
1700158784369,395,88
1700158784466,4089,79
1700158784757,1004,396
1700158784884,181,1000
1700158785119,1031,397
1700158785228,416,86
1700158785652,171,198
1700158785993,383,76
1700158786057,4071,46
1700158786106,1133,463
1700158786483,419,93
1700158786581,1083,397
1700158786865,1146,394
1700158787109,385,88
1700158787731,1264,418
1700158787980,402,103
1700158788292,415,142
1700158788532,386,66
1700158788970,1312,134
1700158789038,1009,399
1700158789043,1196,373
1700158789074,1007,395
1700158789314,1024,393
1700158789813,923,468
1700158789945,1318,918
1700158790118,4085,144
1700158790705,432,95
1700158791017,1010,429
1700158791334,371,78
1700158791469,403,91
1700158791664,2636,82
1700158791860,389,94
1700158792091,1072,468
1700158792459,391,116
1700158792544,396,105
1700158793254,4083,97
1700158793297,209,179
1700158793551,1136,401
1700158794146,206,183
1700158794167,203,162
1700158794439,1025,414
1700158794564,2516,75
1700158794702,944,40
1700158794809,1227,625
1700158795082,1211,368
1700158795134,1186,377
1700158795195,408,129
1700158795528,1139,373
1700158795715,419,130
1700158795757,1199,441
1700158795914,30,164
1700158796008,1008,373
1700158796121,1150,387
1700158796157,2584,135
1700158796275,1009,399
1700158796646,1231,526
1700158796851,1027,414
1700158796945,203,181
1700158797048,388,103
1700158797422,1231,394
1700158797426,1029,438
1700158797490,1009,385
1700158798332,1205,391
1700158798736,393,99
1700158798759,369,52
1700158798964,1010,393
1700158799232,1049,395
1700158799289,387,73
1700158799502,1010,397
1700158799693,912,442
1700158799978,981,393
1700158800096,1083,397
1700158800112,1076,51
1700158800157,1195,507
1700158800182,4076,104
1700158800399,1007,415
1700158800399,4076,59
1700158800463,167,217
1700158800718,379,60
1700158800820,1230,414
1700158800975,1596,52
1700158801155,1195,507
1700158801209,1201,45
1700158801426,6066,74
1700158801626,4075,136
1700158801754,4120,115
1700158802041,931,92
1700158802095,1264,416
1700158802096,1351,145
1700158802228,386,86
1700158802657,1227,392
1700158802674,1009,399
1700158802943,1007,385
1700158803178,1231,373
1700158803251,130,185
1700158803392,391,76
1700158803393,380,86
1700158803574,407,106
1700158803672,1136,377
1700158803728,956,65
1700158803846,1262,395
1700158803864,181,357
1700158803901,91,16
1700158803944,1086,397
1700158804307,1112,432
1700158804661,200,211
1700158804865,1120,397
1700158805057,1082,385
1700158805355,1156,396
1700158805514,2445,83
1700158805556,1060,411
1700158805660,1139,428
1700158806255,206,211
1700158807072,1009,394
1700158807105,375,77
1700158807159,1314,161
1700158807340,435,103
1700158807340,409,149
1700158807987,1211,408
1700158808002,1035,375
1700158808138,1227,656
1700158808617,1203,421
1700158808699,1024,429
1700158808744,171,205
1700158808744,200,174
1700158809058,923,404
1700158809072,20,182
1700158809293,2665,84
1700158809451,383,75
1700158809480,1156,536
1700158809635,1060,429
1700158809905,181,190
1700158809921,1030,411
1700158809924,1009,397
1700158810356,980,425
1700158810740,1204,411
1700158810854,402,97
1700158811328,1199,373
1700158811449,998,415
1700158811668,415,131
1700158811689,1156,390
1700158811724,311,18
1700158811758,1264,395
1700158811822,1207,368
1700158811994,373,75
1700158812221,436,136
1700158812763,1025,428
1700158813015,2715,43
1700158813041,439,161
1700158813081,963,393
1700158813321,1130,45
1700158813398,1139,425
1700158813654,383,56
1700158814021,912,395
1700158814395,206,179
1700158814599,1179,498
1700158815594,120,12
1700158815663,311,18
1700158815922,1989,88
1700158816081,1086,390
1700158816243,4079,142
1700158816384,1219,388
1700158816464,392,122
1700158816657,1313,176
1700158816998,1146,418
1700158817240,4077,42
1700158817301,1036,403
1700158817657,1024,407
1700158818094,1216,392
1700158818278,790,111
1700158818463,1474,94
1700158819052,1733,66
1700158819086,1227,383
1700158819129,1233,423
1700158819759,1031,397
1700158819772,1049,395
1700158820323,4100,48
1700158820803,181,132
1700158820872,983,373
1700158820954,998,402
1700158821116,406,81
1700158821141,1130,402
1700158821350,181,257
1700158821996,1169,373
1700158822081,1029,418
1700158822137,923,399
1700158822139,1144,395
1700158822174,1134,379
1700158822268,1151,407
1700158822345,1183,429
1700158822353,1017,386
1700158822450,1203,421
1700158822666,380,81
